Signature	Number_unique	Number_similar	Similar_signatures	Lowest_LD	Lowest_LD_signature
BDNF GNRH2	603	12	ACTN1 BDNF MRTO4, -3;BAK1 BDNF GNAI1, -3;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BDNF, -4;BDNF BUB1 CEACAM8 ETS2, -2;BDNF CFD INS MRTO4, -2;BDNF COL16A1 IGF1 S100P, -2;BDNF LAMB3 VENTX, -3;BDNF PRKCB TGFB2, -3;F13A1 GNRH2 IRF1, -3;GNRH2, -4;GNRH2 HTR2A PRKCA, -2	-4	BDNF
BDNF LAMB3 VENTX	587	28	ACTN1 BDNF MRTO4, -2;ACTN1 COL1A1 DAB2 LAMB3 SGK1, -1;ACTN1 ITGB4 LAMB3 PAX4, -2;BAK1 BDNF GNAI1, -2;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 E2F5 ERCC2 LAMB3, -1;BDNF, -3;BDNF BUB1 CEACAM8 ETS2, -2;BDNF CFD INS MRTO4, -2;BDNF COL16A1 IGF1 S100P, -2;BDNF GNRH2, -3;BDNF PRKCB TGFB2, -3;BMP2K LAMB3 TLE1, -3;CALCOCO1 LAMB3, -3;CCDC81 COL1A1 FXYD1 TGFBR3 VENTX, -1;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;CEACAM8 GNAI1 LAMB3 SOX2, -2;DLG2 LAMB3, -3;ELK3 LAMB3, -3;F13A1 LAMB3 MYL1 RPL10A, -2;FBN1 MT1H VENTX, -3;GPR35 IL12A LAMB3, -2;IGF1 LAMB3, -3;LAMB3, -3;LAMB3 MRTO4 PAIP2B, -2;LAMB3 PCDH12, -3;NOX3 RREB1 VENTX, -3;VENTX, -3	-3	BDNF
BDNF PRKCB TGFB2	598	17	ACTN1 BDNF MRTO4, -2;ATM GNAI1 PRKCB, -2;BAK1 BDNF GNAI1, -2;BAK1 BDNF HMG20B IGF1 S100P SOX5, 0;BAK1 ELN PRKCB, -2;BDNF, -3;BDNF BUB1 CEACAM8 ETS2, -2;BDNF CFD INS MRTO4, -2;BDNF COL16A1 IGF1 S100P, -2;BDNF GNRH2, -3;BDNF LAMB3 VENTX, -3;DDR2 PRKCB, -3;ELN PAX4 TGFB2, -3;F3 INS LAMA5 PAX4 TGFB2, -1;FXYD1 PRKCB, -3;GNAI1 PRKCB QPCTL, -3;ITIH4 PRKCB REEP1 RPL10A XBP1, -1	-3	BDNF
BIRC3	606	9	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ATM BIRC3 CD40 FARP1, -2;BIRC3 BSCL2 PRKCA, -3;BIRC3 CFH IGF1R, -3;BIRC3 EVI2A ITIH4 RPH3AL, -2;BIRC3 F13A1 RPL10A, -3;BIRC3 GTDC1 JPH2 PAX2, -2;BIRC3 QPCTL RPH3AL, -3;BIRC3 RPL10A, -4	-4	BIRC3 RPL10A
BIRC3 BSCL2 PRKCA	579	36	ADAMTS5 BIRC3 MME PRKCA XBP1, -7;ARHGEF1 ITIH4 MRTO4 PRKCA, -2;ATM BIRC3 CD40 FARP1, -2;ATM ELN NGF PRKCA, -2;ATP5B DLG2 PRKCA RCVRN, -2;ATP5B ERCC2 ITIH4 PRKCA, -2;ATP5B PRKCA, -3;BIRC3, -3;BIRC3 CFH IGF1R, -3;BIRC3 EVI2A ITIH4 RPH3AL, -2;BIRC3 F13A1 RPL10A, -3;BIRC3 GTDC1 JPH2 PAX2, -2;BIRC3 QPCTL RPH3AL, -3;BIRC3 RPL10A, -3;BMP2K DCHS2 PRKCA ZIC4, -2;BSCL2, -3;BSCL2 CD40 GRTP1 PDIA3, -1;BSCL2 MPST, -3;BSCL2 RBM4B SYNPO TLR4, -1;CD3EAP GNAI1 PRKCA, -3;CD3EAP GNAI1 PRKCA THBS1, -2;COL16A1 GNAI1 PRKCA, -3;DDR2 PRKCA TAC1, -2;DDR2 PRKCA VAMP5, -2;DLG2 GNAI1 PADI3 PRKCA, -2;ELK3 PRKCA TNC, -2;GNAI1 PRKCA, -3;GNRH2 HTR2A PRKCA, -3;ITGB7 PRKCA, -3;ITGBL1 PRKCA, -3;KIF14 MVK PRKCA, -3;MT1H PRKCA, -3;NGF PRKCA SH3TC1 TGFBI, -1;PRKCA, -3;PRKCA TGFBI, -2;PRKCA TLE1, -2	-7	ADAMTS5 BIRC3 MME PRKCA XBP1
BIRC3 CFH IGF1R	603	12	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ATM BIRC3 CD40 FARP1, -2;BIRC3, -3;BIRC3 BSCL2 PRKCA, -3;BIRC3 EVI2A ITIH4 RPH3AL, -2;BIRC3 F13A1 RPL10A, -3;BIRC3 GTDC1 JPH2 PAX2, -2;BIRC3 QPCTL RPH3AL, -3;BIRC3 RPL10A, -3;CFH, -3;CFH E2F5, -3;ERCC2 IGF1R MSX2 PLXNC1, -1	-3	BIRC3
BIRC3 EVI2A ITIH4 RPH3AL	588	27	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;AGER RPH3AL TBXA2R, -1;ARHGEF1 ITIH4 MRTO4 PRKCA, -1;ATM BIRC3 CD40 FARP1, -1;ATP5B ERCC2 ITIH4 PRKCA, -2;BIRC3, -2;BIRC3 BSCL2 PRKCA, -2;BIRC3 CFH IGF1R, -2;BIRC3 F13A1 RPL10A, -2;BIRC3 GTDC1 JPH2 PAX2, -2;BIRC3 QPCTL RPH3AL, -8;BIRC3 RPL10A, -2;C1QA ELN IL12A ITIH4, -1;CD1D GPR35 ITIH4 OSBPL9, -2;DDR2 EVI2A FBN1 GPRC5D, -2;E2F5 ITIH4 KIF14 ZNF273, -1;ERCC2 ITIH4 NMT2, -2;GADD45B ITGBL1 NOX3 RPH3AL SYK, -1;GADD45G MSX2 NOX3 RPH3AL SRGAP3, -1;HTR2A RPH3AL TLR4, -1;ITIH4, -2;ITIH4 PRKCB REEP1 RPL10A XBP1, 1;ITIH4 RBM4B, -2;ITIH4 RPL10A, -2;MCTP2 MT1H PKNOX1 RPH3AL, -2;RPH3AL, -2;RPH3AL TRIP10, -1	-8	BIRC3 QPCTL RPH3AL
BIRC3 F13A1 RPL10A	582	33	ACTN1 F13A1 RPL10A, -9;ACTN1 RPL10A, -3;ADAM28 F13A1 IRAK3 POU6F1, -2;ADAMTS5 BIRC3 MME PRKCA XBP1, -1;AGER HNF4A RPL10A, -3;ATM BIRC3 CD40 FARP1, -2;BIRC3, -3;BIRC3 BSCL2 PRKCA, -3;BIRC3 CFH IGF1R, -3;BIRC3 EVI2A ITIH4 RPH3AL, -2;BIRC3 GTDC1 JPH2 PAX2, -2;BIRC3 QPCTL RPH3AL, -3;BIRC3 RPL10A, -9;BUB1 ETS2 F13A1, -2;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;COL1A1 MSX2 MYL1 RPL10A TAS2R16, -1;E2F5 MYL1 RPL10A, -3;ELN F13A1 IRAK3 MAPT, -2;ERCC2 F13A1 KATNA1, -3;F13A1, -3;F13A1 GNRH2 IRF1, -2;F13A1 HNF4A NGF RPL10A, -7;F13A1 IRAK3 MAPT QKI RPL10A, -6;F13A1 LAMB3 MYL1 RPL10A, -7;FBN1 GNAI1 RPL10A, -3;HNF4A RPL10A, -3;HNF4A RPL10A TLE1, -2;ITIH4 PRKCB REEP1 RPL10A XBP1, -1;ITIH4 RPL10A, -3;MSX2 NMT2 RPL10A TAS2R16, -2;PAX4 RPL10A TUBB6, -2;PRMT1 RPL10A, -3;RPL10A, -3	-9	ACTN1 F13A1 RPL10A
BIRC3 GTDC1 JPH2 PAX2	598	17	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ATM BIRC3 CD40 FARP1, -1;BAK1 EXT1 FXYD1 PAX2, -2;BIRC3, -2;BIRC3 BSCL2 PRKCA, -2;BIRC3 CFH IGF1R, -2;BIRC3 EVI2A ITIH4 RPH3AL, -2;BIRC3 F13A1 RPL10A, -2;BIRC3 QPCTL RPH3AL, -2;BIRC3 RPL10A, -2;DAB2 JPH2, -2;FAM134B OLFML2B PAX2 SYNPO, -1;FHL3 FRAT1 GTDC1, -1;GDNF MCTP2 PAX2 QPCTL, -1;GTDC1 KCNK12 MT1H PRLR, -1;JPH2 PALM PDLIM4 TLE1, 0;KATNA1 MRTO4 PAX2 SLC7A2 TGFBI, 0	-2	BAK1 EXT1 FXYD1 PAX2
BIRC3 QPCTL RPH3AL	594	21	ADAMTS5 BIRC3 MME PRKCA XBP1, -1;AGER RPH3AL TBXA2R, -2;ATM BIRC3 CD40 FARP1, -2;BAZ2A IRAK3 QPCTL, -2;BIRC3, -3;BIRC3 BSCL2 PRKCA, -3;BIRC3 CFH IGF1R, -3;BIRC3 EVI2A ITIH4 RPH3AL, -8;BIRC3 F13A1 RPL10A, -3;BIRC3 GTDC1 JPH2 PAX2, -2;BIRC3 RPL10A, -3;GADD45B ITGBL1 NOX3 RPH3AL SYK, -1;GADD45G MSX2 NOX3 RPH3AL SRGAP3, -1;GDNF MCTP2 PAX2 QPCTL, -1;GNAI1 PRKCB QPCTL, -2;GRIK3 LMO3 QPCTL VAMP5, -2;HTR2A RPH3AL TLR4, -2;IRAK3 QPCTL, -3;MCTP2 MT1H PKNOX1 RPH3AL, -2;RPH3AL, -3;RPH3AL TRIP10, -2	-8	BIRC3 EVI2A ITIH4 RPH3AL
BIRC3 RPL10A	588	27	ACTN1 F13A1 RPL10A, -3;ACTN1 RPL10A, -4;ADAMTS5 BIRC3 MME PRKCA XBP1, -1;AGER HNF4A RPL10A, -3;ATM BIRC3 CD40 FARP1, -2;BIRC3, -4;BIRC3 BSCL2 PRKCA, -3;BIRC3 CFH IGF1R, -3;BIRC3 EVI2A ITIH4 RPH3AL, -2;BIRC3 F13A1 RPL10A, -9;BIRC3 GTDC1 JPH2 PAX2, -2;BIRC3 QPCTL RPH3AL, -3;CEACAM1 GDNF RPL10A SLC7A2 VENTX, -1;COL1A1 MSX2 MYL1 RPL10A TAS2R16, -1;E2F5 MYL1 RPL10A, -3;F13A1 HNF4A NGF RPL10A, -2;F13A1 IRAK3 MAPT QKI RPL10A, -1;F13A1 LAMB3 MYL1 RPL10A, -2;FBN1 GNAI1 RPL10A, -3;HNF4A RPL10A, -4;HNF4A RPL10A TLE1, -3;ITIH4 PRKCB REEP1 RPL10A XBP1, -1;ITIH4 RPL10A, -4;MSX2 NMT2 RPL10A TAS2R16, -2;PAX4 RPL10A TUBB6, -3;PRMT1 RPL10A, -4;RPL10A, -4	-9	BIRC3 F13A1 RPL10A
BMI1	612	3	ATP5B BMI1 FXYD1 PRLR, -2;BMI1 NPY1R, -4;BMI1 PAIP2B, -4	-4	BMI1 NPY1R
BMI1 NPY1R	611	4	ALX1 FLI1 GPR35 NPY1R, -2;ATP5B BMI1 FXYD1 PRLR, -2;BMI1, -4;BMI1 PAIP2B, -4	-4	BMI1
BMI1 PAIP2B	606	9	ACTN1 GDNF PAIP2B, -3;ARHGAP25 CRIM1 PAIP2B, -3;ATP5B BMI1 FXYD1 PRLR, -2;BMI1, -4;BMI1 NPY1R, -4;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;CDH6 MRTO4 PAIP2B, -3;FXYD1 HMOX1 PAIP2B PRLR, -2;LAMB3 MRTO4 PAIP2B, -3	-4	BMI1
BMP2K	599	16	ADRA2A BMP2K FMO4 TLE1, -2;ALX1 BMP2K HMGA1, -3;ARHGEF1 BMP2K DAB2 ETS2, -2;BMP2K C1QA, -4;BMP2K C1QA MRPS12, -3;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;BMP2K DCHS2 MAPT TLE1, -2;BMP2K DCHS2 PRKCA ZIC4, -2;BMP2K DCHS2 ZIC4, -3;BMP2K E2F5 ERCC2 IL12A, -2;BMP2K E2F5 SYNPO, -3;BMP2K FBN1 MRPS12, -3;BMP2K IL10 PHF20, -3;BMP2K KATNA1, -4;BMP2K LAMB3 TLE1, -3;BMP2K MRPS12 QKI TLE1, -2	-4	BMP2K C1QA
BMP2K C1QA	588	27	ADAM28 C1QA FRAT1, -3;ADRA2A BMP2K FMO4 TLE1, -2;ALX1 BMP2K HMGA1, -3;ARHGEF1 BMP2K DAB2 ETS2, -2;ATP5B C1QA CPB2 ELN, -2;ATP5B C1QA ERCC2 HNF4A SYK, -1;ATP5B C1QA HNF4A, -3;BMP2K, -4;BMP2K C1QA MRPS12, -9;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;BMP2K DCHS2 MAPT TLE1, -2;BMP2K DCHS2 PRKCA ZIC4, -2;BMP2K DCHS2 ZIC4, -3;BMP2K E2F5 ERCC2 IL12A, -2;BMP2K E2F5 SYNPO, -3;BMP2K FBN1 MRPS12, -3;BMP2K IL10 PHF20, -3;BMP2K KATNA1, -4;BMP2K LAMB3 TLE1, -3;BMP2K MRPS12 QKI TLE1, -2;C1QA, -4;C1QA DAB2 IRAK3, -2;C1QA ELN IL12A ITIH4, -1;C1QA GRIK3 TRIP10, -2;C1QA KLK2, -3;C1QA PDIA3 SAMD9 VEGFC, -1;C1QA ZNF668, -3	-9	BMP2K C1QA MRPS12
BMP2K C1QA MRPS12	576	39	ACTN1 MRPS12 MSC, -2;ADAM28 C1QA FRAT1, -3;ADRA2A BMP2K FMO4 TLE1, -2;ALX1 BMP2K HMGA1, -2;ARHGEF1 BMP2K DAB2 ETS2, -2;ATP5B C1QA CPB2 ELN, -2;ATP5B C1QA ERCC2 HNF4A SYK, -1;ATP5B C1QA HNF4A, -3;BMP2K, -3;BMP2K C1QA, -9;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;BMP2K DCHS2 MAPT TLE1, -2;BMP2K DCHS2 PRKCA ZIC4, -2;BMP2K DCHS2 ZIC4, -3;BMP2K E2F5 ERCC2 IL12A, -2;BMP2K E2F5 SYNPO, -3;BMP2K FBN1 MRPS12, -9;BMP2K IL10 PHF20, -3;BMP2K KATNA1, -3;BMP2K LAMB3 TLE1, -3;BMP2K MRPS12 QKI TLE1, -7;C1QA, -3;C1QA DAB2 IRAK3, -2;C1QA ELN IL12A ITIH4, -1;C1QA GRIK3 TRIP10, -2;C1QA KLK2, -3;C1QA PDIA3 SAMD9 VEGFC, -1;C1QA ZNF668, -3;CD3EAP MRPS12, -3;CTGF MRPS12, -3;DKK2 MRPS12 PDZD3 REEP1, -1;ELK3 MRPS12 PDIA3 QKI, -1;FARP1 MRPS12 REEP1, -2;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 0;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, 0;FBN1 MRPS12 NOX3 TBXA2R, -1;KCTD14 MRPS12, -3;MRPS12 MSC, -2;MRPS12 RCAN2 RCVRN SLC39A4, 0	-9	BMP2K C1QA
BMP2K CBR1 HNF4A PAIP2B TM4SF1	564	51	ACTN1 GDNF PAIP2B, -1;ADRA2A BMP2K FMO4 TLE1, 0;AGER HNF4A RPL10A, -1;ALX1 BMP2K HMGA1, 0;ARHGAP25 CRIM1 PAIP2B, -1;ARHGEF1 BMP2K DAB2 ETS2, 0;ATP5B BAK1 E2F5 ERCC2 HNF4A, 1;ATP5B C1QA ERCC2 HNF4A SYK, 0;ATP5B C1QA HNF4A, -1;ATP5B COL1A1 ERCC2 HNF4A IRAK3, 0;ATP5B FBN1 HNF4A, -1;ATP5B HNF4A, -1;BMI1 PAIP2B, -1;BMP2K, -1;BMP2K C1QA, -1;BMP2K C1QA MRPS12, -1;BMP2K DCHS2 MAPT TLE1, -1;BMP2K DCHS2 PRKCA ZIC4, -1;BMP2K DCHS2 ZIC4, -1;BMP2K E2F5 ERCC2 IL12A, -1;BMP2K E2F5 SYNPO, -1;BMP2K FBN1 MRPS12, -1;BMP2K IL10 PHF20, -1;BMP2K KATNA1, -1;BMP2K LAMB3 TLE1, -1;BMP2K MRPS12 QKI TLE1, -1;C1orf21 HNF4A PHLDA1, -1;CBR1, -1;CBR1 EXT1 GRIK3 HTR2A, -1;CBR1 GRIK3, -1;CBR1 HRH4, -1;CBR1 ZNF334, -1;CBR1 ZNF668, -1;CDH6 MRTO4 PAIP2B, -1;CEACAM1 HNF4A MSC, -1;CPB2 MAPRE3 RCN3 TM4SF1, -1;CTGF HNF4A S100P ZNF273, -1;ETS2 HNF4A, -1;F13A1 HNF4A NGF RPL10A, -1;FAM134B HNF4A NRTN PLXNC1, -1;FARP1 HNF4A HPCAL4 NHLH1, -1;FXYD1 HMOX1 PAIP2B PRLR, -1;HNF4A, -1;HNF4A IL12A MAPT, -1;HNF4A LAMA5, -1;HNF4A MAPT, -1;HNF4A RPL10A, -1;HNF4A RPL10A TLE1, -1;LAMB3 MRTO4 PAIP2B, -1;MSC PHLDA1 TM4SF1, -1;TM4SF1, -1	-1	ACTN1 GDNF PAIP2B
BMP2K DCHS2 MAPT TLE1	572	43	ACTN1 TLE1, -2;ADAM19 DCHS2 PDLIM4 TBC1D9 TG, -1;ADRA2A BMP2K FMO4 TLE1, -7;ALX1 BMP2K HMGA1, -1;ARHGEF1 BAK1 TLE1, -2;ARHGEF1 BMP2K DAB2 ETS2, -1;ATP5B MAPT NMT2, -2;BAK1 FBN1 GADD45G TLE1, -2;BAK1 GADD45G TLE1, -2;BAK1 MAPT, -2;BMP2K, -2;BMP2K C1QA, -2;BMP2K C1QA MRPS12, -2;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;BMP2K DCHS2 PRKCA ZIC4, -8;BMP2K DCHS2 ZIC4, -8;BMP2K E2F5 ERCC2 IL12A, -2;BMP2K E2F5 SYNPO, -2;BMP2K FBN1 MRPS12, -2;BMP2K IL10 PHF20, -2;BMP2K KATNA1, -2;BMP2K LAMB3 TLE1, -8;BMP2K MRPS12 QKI TLE1, -8;CPB2 ELN MAPT, -2;CYP27A1 ETS2 MAPT TNC, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DDR2 HMG20B MCTP2 TLE1, -2;ELK3 FAM134B TLE1, -2;ELN F13A1 IRAK3 MAPT, -1;ERCC2 KATNA1 MAPT NGF, -2;F13A1 IRAK3 MAPT QKI RPL10A, -1;HMG20B SGK1 TLE1, -2;HNF4A IL12A MAPT, -2;HNF4A MAPT, -2;HNF4A RPL10A TLE1, -2;IL12A MAPT, -2;JPH2 PALM PDLIM4 TLE1, -2;LILRB5 MRTO4 TLE1, -2;MAPT, -2;MAPT TGFBR3 WFDC1, -1;NGF TLE1, -2;PRKCA TLE1, -2;TLE1, -2	-8	BMP2K DCHS2 PRKCA ZIC4
BMP2K DCHS2 PRKCA ZIC4	573	42	ADAM19 DCHS2 PDLIM4 TBC1D9 TG, -1;ADAMTS5 BIRC3 MME PRKCA XBP1, -1;ADRA2A BMP2K FMO4 TLE1, -1;ALX1 BMP2K HMGA1, -1;ARHGEF1 BMP2K DAB2 ETS2, -1;ARHGEF1 ITIH4 MRTO4 PRKCA, -1;ATM ELN NGF PRKCA, -1;ATP5B DLG2 PRKCA RCVRN, -2;ATP5B ERCC2 ITIH4 PRKCA, -1;ATP5B PRKCA, -2;BIRC3 BSCL2 PRKCA, -2;BMP2K, -2;BMP2K C1QA, -2;BMP2K C1QA MRPS12, -2;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;BMP2K DCHS2 MAPT TLE1, -8;BMP2K DCHS2 ZIC4, -14;BMP2K E2F5 ERCC2 IL12A, -2;BMP2K E2F5 SYNPO, -2;BMP2K FBN1 MRPS12, -2;BMP2K IL10 PHF20, -2;BMP2K KATNA1, -2;BMP2K LAMB3 TLE1, -2;BMP2K MRPS12 QKI TLE1, -2;CD3EAP GNAI1 PRKCA, -2;CD3EAP GNAI1 PRKCA THBS1, -2;COL16A1 GNAI1 PRKCA, -2;DDR2 PRKCA TAC1, -2;DDR2 PRKCA VAMP5, -2;DLG2 GNAI1 PADI3 PRKCA, -1;ELK3 PRKCA TNC, -2;GNAI1 PRKCA, -2;GNRH2 HTR2A PRKCA, -2;GTF2H5 PDIA3 WIPF1 ZIC4, -2;ITGB7 PRKCA, -2;ITGBL1 PRKCA, -2;KIF14 MVK PRKCA, -2;MT1H PRKCA, -2;NGF PRKCA SH3TC1 TGFBI, -1;PRKCA, -2;PRKCA TGFBI, -2;PRKCA TLE1, -2	-14	BMP2K DCHS2 ZIC4
BMP2K DCHS2 ZIC4	597	18	ADAM19 DCHS2 PDLIM4 TBC1D9 TG, -1;ADRA2A BMP2K FMO4 TLE1, -2;ALX1 BMP2K HMGA1, -2;ARHGEF1 BMP2K DAB2 ETS2, -2;BMP2K, -3;BMP2K C1QA, -3;BMP2K C1QA MRPS12, -3;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;BMP2K DCHS2 MAPT TLE1, -8;BMP2K DCHS2 PRKCA ZIC4, -14;BMP2K E2F5 ERCC2 IL12A, -2;BMP2K E2F5 SYNPO, -3;BMP2K FBN1 MRPS12, -3;BMP2K IL10 PHF20, -3;BMP2K KATNA1, -3;BMP2K LAMB3 TLE1, -3;BMP2K MRPS12 QKI TLE1, -2;GTF2H5 PDIA3 WIPF1 ZIC4, -2	-14	BMP2K DCHS2 PRKCA ZIC4
BMP2K E2F5 ERCC2 IL12A	557	58	ADRA2A BMP2K FMO4 TLE1, -1;AGER BAK1 E2F5 IL12A, -7;ALX1 BMP2K HMGA1, -1;ALX1 ERCC2 KATNA1, -2;ARHGEF1 BMP2K DAB2 ETS2, -1;ATP5B BAG2 E2F5 RARS, -1;ATP5B BAK1 E2F5 ERCC2 HNF4A, -7;ATP5B C1QA ERCC2 HNF4A SYK, -1;ATP5B COL1A1 ERCC2 HNF4A IRAK3, -1;ATP5B ERCC2, -2;ATP5B ERCC2 ITIH4 PRKCA, -1;BAK1 E2F5 ERCC2 LAMB3, -8;BAK1 IL12A SV2A, -1;BMP2K, -2;BMP2K C1QA, -2;BMP2K C1QA MRPS12, -2;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;BMP2K DCHS2 MAPT TLE1, -2;BMP2K DCHS2 PRKCA ZIC4, -2;BMP2K DCHS2 ZIC4, -2;BMP2K E2F5 SYNPO, -8;BMP2K FBN1 MRPS12, -2;BMP2K IL10 PHF20, -2;BMP2K KATNA1, -2;BMP2K LAMB3 TLE1, -2;BMP2K MRPS12 QKI TLE1, -2;C1QA ELN IL12A ITIH4, -1;CASP1 ERCC2 KATNA1, -2;CD3EAP ERCC2 HOXA3 PTGES3 REEP1, 0;CEACAM1 ERCC2, -2;CFH E2F5, -2;CPB2 ERCC2 GAA KCNK12 MT1H, 0;CSF1 CTGF ERCC2 TRIP10, -2;CTGF E2F5 IRAK3, -2;CYP2B6 E2F5, -2;E2F5, -2;E2F5 ERCC2, -8;E2F5 ETS2, -2;E2F5 ITIH4 KIF14 ZNF273, -1;E2F5 MRTO4 TLR4, -2;E2F5 MYL1 RPL10A, -2;E2F5 NHLH1 TRIM32, -2;E2F5 OSBPL9, -2;E2F5 TBC1D9, -2;ELN ERCC2 NGF SYK, -1;ERCC2, -2;ERCC2 F13A1 KATNA1, -1;ERCC2 IGF1R MSX2 PLXNC1, 0;ERCC2 ISG20 ITGB4 KATNA1 TNC, 1;ERCC2 ITIH4 NMT2, -1;ERCC2 KATNA1 MAPT NGF, 0;ERCC2 PTGES3, -2;GNAI1 GPR137B IL12A RCAN2, -1;GPR35 IL12A LAMB3, -1;HNF4A IL12A MAPT, -1;IL12A, -2;IL12A MAPT, -1;IL12A ZNF668, -1	-8	BAK1 E2F5 ERCC2 LAMB3
BMP2K E2F5 SYNPO	575	40	ADRA2A BMP2K FMO4 TLE1, -2;AGER BAK1 E2F5 IL12A, -2;ALX1 BMP2K HMGA1, -2;ARHGEF1 BMP2K DAB2 ETS2, -2;ATP5B BAG2 E2F5 RARS, -2;ATP5B BAK1 E2F5 ERCC2 HNF4A, -1;BAK1 E2F5 ERCC2 LAMB3, -2;BAK1 SV2A SYNPO, -3;BMP2K, -3;BMP2K C1QA, -3;BMP2K C1QA MRPS12, -3;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;BMP2K DCHS2 MAPT TLE1, -2;BMP2K DCHS2 PRKCA ZIC4, -2;BMP2K DCHS2 ZIC4, -3;BMP2K E2F5 ERCC2 IL12A, -8;BMP2K FBN1 MRPS12, -3;BMP2K IL10 PHF20, -3;BMP2K KATNA1, -3;BMP2K LAMB3 TLE1, -3;BMP2K MRPS12 QKI TLE1, -2;BSCL2 RBM4B SYNPO TLR4, -2;CFH E2F5, -3;CTGF E2F5 IRAK3, -3;CYP2B6 E2F5, -3;DDR2 POU6F1 PRLR SYNPO, -2;E2F5, -3;E2F5 ERCC2, -3;E2F5 ETS2, -3;E2F5 ITIH4 KIF14 ZNF273, -1;E2F5 MRTO4 TLR4, -2;E2F5 MYL1 RPL10A, -2;E2F5 NHLH1 TRIM32, -2;E2F5 OSBPL9, -3;E2F5 TBC1D9, -3;FAM134B OLFML2B PAX2 SYNPO, -2;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, 0;HR ITGBL1 SYNPO VAMP5 XBP1, -1;SV2A SYNPO, -3;SYNPO, -3	-8	BMP2K E2F5 ERCC2 IL12A
BMP2K FBN1 MRPS12	573	42	ACTN1 MRPS12 MSC, -2;ADRA2A BMP2K FMO4 TLE1, -2;AGER FBN1, -3;ALX1 BMP2K HMGA1, -2;ARHGEF1 BMP2K DAB2 ETS2, -2;ATP5B FBN1 HNF4A, -3;BAK1 FBN1 GADD45G TLE1, -2;BMP2K, -3;BMP2K C1QA, -3;BMP2K C1QA MRPS12, -9;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;BMP2K DCHS2 MAPT TLE1, -2;BMP2K DCHS2 PRKCA ZIC4, -2;BMP2K DCHS2 ZIC4, -3;BMP2K E2F5 ERCC2 IL12A, -2;BMP2K E2F5 SYNPO, -3;BMP2K IL10 PHF20, -3;BMP2K KATNA1, -3;BMP2K LAMB3 TLE1, -3;BMP2K MRPS12 QKI TLE1, -7;CD3EAP MRPS12, -3;CEACAM7 FBN1 HMGA1 TPM2, -2;CLDN3 FBN1, -3;CTGF ELK3 FBN1 GRTP1 PALM, -1;CTGF MRPS12, -3;DDR2 EVI2A FBN1 GPRC5D, -2;DDR2 FBN1 ITGBL1 TLE1, -2;DHRS7 ELK3 FBN1 SLC7A2, -2;DKK2 MRPS12 PDZD3 REEP1, -1;ELK3 FAM134B FBN1, -2;ELK3 MRPS12 PDIA3 QKI, -1;FARP1 MRPS12 REEP1, -2;FBN1 FRAT1 MRPS12 OPCML SLC7A2 SYNPO, -5;FBN1 GNAI1 RPL10A, -2;FBN1 ITGBL1, -3;FBN1 LCN2 LOR MRPS12 MSX2 TLR4, -5;FBN1 MRPS12 NOX3 TBXA2R, -7;FBN1 MT1H, -3;FBN1 MT1H VENTX, -2;KCTD14 MRPS12, -3;MRPS12 MSC, -2;MRPS12 RCAN2 RCVRN SLC39A4, 0	-9	BMP2K C1QA MRPS12
BMP2K IL10 PHF20	595	20	ADRA2A BMP2K FMO4 TLE1, -2;ALX1 BMP2K HMGA1, -2;ARHGEF1 BMP2K DAB2 ETS2, -2;BMP2K, -3;BMP2K C1QA, -3;BMP2K C1QA MRPS12, -3;BMP2K CBR1 HNF4A PAIP2B TM4SF1, -1;BMP2K DCHS2 MAPT TLE1, -2;BMP2K DCHS2 PRKCA ZIC4, -2;BMP2K DCHS2 ZIC4, -3;BMP2K E2F5 ERCC2 IL12A, -2;BMP2K E2F5 SYNPO, -3;BMP2K FBN1 MRPS12, -3;BMP2K KATNA1, -3;BMP2K LAMB3 TLE1, -3;BMP2K MRPS12 QKI TLE1, -2;CBR3 IL23A KRT32 PHF20, -2;HR IL10, -3;HTR2A PHF20 XBP1, -2;PHF20 TAS2R8, -2	-3	BMP2K
